continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,Prev_wage_normal,age_of_estab,Quality_Rating,yr_of_estab_str
3,1,0.0,0.0,7.111512116496157,1979,2.0,11.553569203603846,3.0,1.0,104148.1,46,1,161.0
2,1,1.0,0.0,7.59337419312129,1968,1.0,11.224697243406169,3.0,1.0,74959.05,57,3,150.0
3,2,0.0,0.0,6.490723534502507,2010,2.0,11.628514094678076,3.0,1.0,112253.4,15,1,192.0
3,0,1.0,0.0,7.403670290012373,2005,1.0,10.667307060174315,3.0,1.0,42929.18,20,3,187.0
3,3,1.0,1.0,7.784473235736469,2007,1.0,10.667678300468165,3.0,1.0,42945.12,18,4,189.0
0,1,0.0,1.0,8.36450810375059,1867,4.0,11.080164439863376,3.0,1.0,64871.55,158,2,49.0
3,1,1.0,0.0,7.042286171939743,2008,2.0,10.869052331489495,3.0,1.0,52525.41,17,3,190.0
3,0,1.0,0.0,7.970049304976135,1994,4.0,10.354931257010948,3.0,1.0,31411.56,31,3,176.0
3,1,1.0,1.0,7.1316985104669115,1939,4.0,11.5134939033785,3.0,1.0,100056.86,86,4,121.0
3,2,1.0,0.0,8.481773246184977,1994,4.0,11.103650960315617,3.0,1.0,66413.19,31,3,176.0
3,0,0.0,0.0,8.43750042250699,2005,4.0,11.080557138933171,3.0,1.0,64897.03,20,1,187.0
3,0,1.0,0.0,11.416315440734046,1987,2.0,11.844098040304663,3.0,1.0,139260.01,38,3,169.0
3,1,0.0,0.0,6.9167150203536085,2010,3.0,11.273098135190592,3.0,1.0,78676.37,15,1,192.0
3,1,0.0,0.0,7.102499355774649,1984,2.0,6.482311469077588,0.0,1.0,1359237.7759999998,41,1,166.0
3,2,0.0,0.0,7.427738840532894,1998,3.0,11.46245667269264,3.0,0.0,95078.36,27,1,180.0
3,1,0.0,0.0,6.590301048196686,2003,2.0,6.335656375149763,0.0,1.0,1173826.576,22,1,185.0
1,1,0.0,0.0,10.069722070677152,1911,1.0,11.770931245028768,3.0,0.0,129434.63,114,1,93.0
3,2,1.0,0.0,7.979681302387741,1979,1.0,11.403560051515518,3.0,1.0,89640.28,46,3,161.0
5,1,0.0,0.0,6.963189985870238,1911,4.0,10.430200501738693,3.0,1.0,33867.14,114,1,93.0
4,2,1.0,0.0,8.02059914989697,1988,4.0,9.669673523625319,3.0,1.0,15830.18,37,3,170.0
3,2,0.0,0.0,7.919356190660617,2012,4.0,11.277136040591023,3.0,1.0,78994.7,13,1,194.0
3,2,0.0,1.0,7.011213987350367,1992,3.0,11.09158810650517,3.0,1.0,65616.87,33,2,174.0
3,0,0.0,0.0,7.968319500012717,1993,2.0,11.613628802790927,3.0,1.0,110594.85,32,1,175.0
3,2,1.0,1.0,8.818482267274236,1832,2.0,8.779485145577093,3.0,0.0,6499.53,193,4,16.0
3,2,1.0,0.0,8.330863613224745,1980,2.0,9.495428332627538,3.0,1.0,13298.79,45,3,162.0
3,1,1.0,0.0,8.304494897963567,1970,2.0,11.774927817801757,3.0,1.0,129952.96,55,3,152.0
3,2,0.0,0.0,4.955827057601261,2007,3.0,11.3055803338241,3.0,1.0,81273.91,18,1,189.0
3,1,1.0,0.0,4.955827057601261,1980,4.0,5.38623666458592,0.0,1.0,454230.4,45,3,162.0
3,1,1.0,0.0,8.323122887587735,2001,4.0,11.308526873976488,3.0,1.0,81513.74,24,3,183.0
3,2,0.0,0.0,8.197263371414335,1965,3.0,11.677908321505187,3.0,0.0,117937.29,60,1,147.0
3,0,1.0,0.0,7.962763930168115,2010,3.0,11.616019273587593,3.0,1.0,110859.54,15,3,192.0
2,3,1.0,0.0,7.962415680121064,2009,3.0,10.943879805219332,1.0,1.0,679278.48,16,3,191.0
3,1,0.0,0.0,5.14166355650266,1963,1.0,11.581580812835824,3.0,1.0,107106.7,62,1,145.0
2,3,0.0,0.0,6.683360945766275,1987,2.0,10.279661499250407,3.0,1.0,29134.01,38,1,169.0
3,1,1.0,0.0,7.469083884921234,1924,2.0,10.812617708569423,3.0,1.0,49643.25,101,3,106.0
3,2,1.0,0.0,7.25063551189868,2006,4.0,11.744107500921777,3.0,1.0,126008.86,19,3,188.0
1,3,0.0,0.0,7.6676260915849905,2004,4.0,11.47358840904939,3.0,1.0,96142.66,21,1,186.0
0,0,1.0,0.0,8.331586243630754,2010,0.0,11.81488330206435,3.0,1.0,135250.42,15,3,192.0
4,2,0.0,1.0,8.08825472712243,2004,3.0,11.83951134940588,3.0,1.0,138622.73,21,2,186.0
3,1,0.0,0.0,8.042056410058754,2006,3.0,10.35578344616704,3.0,1.0,31438.34,19,1,188.0
1,1,0.0,0.0,7.669495251007694,2000,4.0,11.132425956578304,3.0,1.0,68351.99,25,1,182.0
3,1,0.0,0.0,6.990256500493881,1933,4.0,11.963801319155781,3.0,0.0,156968.64,92,1,115.0
3,1,0.0,0.0,8.363575702750637,1995,2.0,5.244628573664706,0.0,1.0,394254.432,30,1,177.0
3,2,0.0,0.0,6.918695219020472,1994,4.0,11.840127797052919,3.0,1.0,138708.21,31,1,176.0
3,3,0.0,1.0,5.568344503761097,2013,4.0,11.478301825065374,3.0,1.0,96596.89,12,2,195.0
5,2,1.0,0.0,6.643789733147672,2013,3.0,11.331590141688087,3.0,1.0,83415.56,12,3,195.0
3,2,1.0,0.0,7.928045600874777,1985,3.0,11.799387042921513,3.0,0.0,133170.7,40,3,167.0
3,3,1.0,1.0,11.637635564138924,2011,1.0,12.013052057676987,3.0,1.0,164893.0,14,4,193.0
3,1,1.0,0.0,5.91350300563827,1998,3.0,11.330126394184612,3.0,1.0,83293.55,27,3,180.0
3,2,1.0,1.0,10.752248627616684,1997,1.0,10.500297826388024,3.0,1.0,36326.32,28,4,179.0
3,2,1.0,0.0,7.138073034044347,1920,2.0,11.756512849728717,3.0,1.0,127581.78,105,3,102.0
3,2,0.0,0.0,8.186185994226083,1946,0.0,11.093540726753211,3.0,1.0,65745.12,79,1,128.0
1,2,0.0,0.0,7.537430036586509,1986,2.0,12.129824608146446,3.0,0.0,185317.27,39,1,168.0
3,1,1.0,0.0,5.337538079701318,1998,2.0,11.457775902624558,3.0,1.0,94634.36,27,3,180.0
3,1,0.0,0.0,8.630700432209832,2014,3.0,11.791698444042906,3.0,1.0,132150.73,11,1,196.0
4,0,0.0,0.0,8.00603417874901,2005,1.0,11.778954007762376,3.0,1.0,130477.23,20,1,187.0
3,1,0.0,0.0,7.590852123688581,2007,1.0,10.82763553520978,3.0,1.0,50394.41,18,1,189.0
3,1,1.0,0.0,7.831220214604293,2007,2.0,10.883754272355722,3.0,1.0,53303.34,18,3,189.0
3,2,1.0,0.0,8.048468743668883,2003,1.0,11.46817074742226,3.0,0.0,95623.2,22,3,185.0
3,2,1.0,0.0,6.56244409369372,2003,4.0,10.788328070577036,3.0,1.0,48451.96,22,3,185.0
3,2,0.0,0.0,7.62657020629066,1941,1.0,11.65149382574497,3.0,1.0,114862.82,84,1,123.0
3,1,1.0,0.0,3.970291913552122,1953,4.0,11.799138909515792,3.0,1.0,133137.66,72,3,135.0
3,1,1.0,1.0,6.963189985870238,1979,4.0,11.6345432718172,3.0,1.0,112932.24,46,4,161.0
1,2,1.0,0.0,7.455876687491824,2010,1.0,11.558376918987362,3.0,0.0,104650.02,15,3,192.0
3,2,1.0,0.0,7.81923445385907,2003,1.0,10.984658793183314,3.0,0.0,58962.61,22,3,185.0
3,1,0.0,0.0,8.122074375362217,1994,2.0,11.058500810848336,3.0,1.0,63481.31,31,1,176.0
3,1,1.0,0.0,6.871091294610546,1996,1.0,11.488825581681132,3.0,1.0,97618.82,29,3,178.0
3,0,1.0,0.0,8.282483003730562,1968,2.0,10.686621678687231,3.0,1.0,43766.4,57,3,150.0
0,2,0.0,1.0,5.087596335232384,1900,1.0,9.186042556443196,3.0,1.0,9759.95,125,2,82.0
3,1,1.0,0.0,7.3796321526095525,2006,2.0,11.532359298780253,3.0,1.0,101962.39,19,3,188.0
3,1,1.0,0.0,8.099857910737585,1985,3.0,10.990230680574141,3.0,1.0,59292.06,40,3,167.0
5,1,0.0,1.0,7.958227192322312,1994,4.0,11.702409228484964,3.0,1.0,120862.55,31,2,176.0
3,1,0.0,0.0,6.889591308354466,2001,2.0,10.613080015124266,3.0,1.0,40663.25,24,1,183.0
3,1,0.0,0.0,8.758726607842037,1999,3.0,10.38504573261155,3.0,1.0,32371.89,26,1,181.0
1,1,1.0,0.0,7.676473646389156,2012,4.0,10.632385008162426,3.0,1.0,41455.88,13,3,194.0
4,1,0.0,0.0,7.247792581767846,1977,3.0,11.45741275503997,3.0,1.0,94600.0,48,1,159.0
1,2,1.0,0.0,6.893656354602635,1986,2.0,11.813771782274664,3.0,1.0,135100.17,39,3,168.0
3,2,0.0,0.0,8.344267356262645,2006,3.0,11.817323789110144,3.0,0.0,135580.9,19,1,188.0
1,3,1.0,0.0,8.021584533455107,1989,4.0,10.996751899756942,3.0,1.0,59679.98,36,3,171.0
0,2,1.0,0.0,7.780720886117918,2009,1.0,9.07905673696497,3.0,1.0,8769.69,16,3,191.0
3,2,1.0,0.0,6.1903154058531475,2011,3.0,11.83907864276647,3.0,0.0,138562.76,14,3,193.0
3,1,1.0,0.0,8.61341204915678,2011,4.0,11.079373796340636,3.0,1.0,64820.28,14,3,193.0
3,3,1.0,0.0,9.254261559034111,1976,3.0,10.864515293251053,3.0,1.0,52287.64,49,3,158.0
1,2,0.0,0.0,8.086410275323782,2006,4.0,11.273704486677266,3.0,0.0,78724.09,19,1,188.0
3,2,1.0,0.0,7.51425465281641,1995,3.0,6.724566306091592,0.0,1.0,1731830.4640000002,30,3,177.0
4,0,0.0,0.0,5.476463551931511,1999,3.0,9.358008370270259,3.0,1.0,11591.28,26,1,181.0
3,1,1.0,1.0,7.748460023899697,1928,3.0,11.76976449339488,3.0,1.0,129283.7,97,4,110.0
3,2,1.0,0.0,8.595819511871428,1983,3.0,11.685690587490237,3.0,1.0,118858.69,42,3,165.0
3,1,1.0,0.0,6.3561076606958915,1997,3.0,11.853428993575362,3.0,1.0,140565.52,28,3,179.0
3,2,0.0,0.0,6.9411900550683745,2014,3.0,11.971975509647043,3.0,0.0,158256.99,11,1,196.0
1,2,1.0,0.0,8.61341204915678,1919,4.0,9.65604298382314,3.0,1.0,15615.87,106,3,101.0
1,1,1.0,0.0,10.158323550582827,2002,3.0,10.146922239257979,3.0,1.0,25512.46,23,3,184.0
3,2,1.0,0.0,7.982416346827733,2007,1.0,11.02009380771536,3.0,1.0,61089.41,18,3,189.0
3,2,1.0,0.0,7.588829878307813,1968,3.0,11.477381185445337,3.0,1.0,96508.0,57,3,150.0
3,2,1.0,0.0,7.897296472595885,2007,4.0,11.35357023158652,3.0,1.0,85269.34,18,3,189.0
0,2,1.0,0.0,5.805134968916488,1996,2.0,11.5509176353122,3.0,1.0,103872.31,29,3,178.0
5,3,1.0,0.0,7.691200097522863,2005,3.0,9.102472270506908,3.0,1.0,8977.46,20,3,187.0
3,2,0.0,0.0,7.699389406256737,2007,1.0,10.526050506789721,3.0,1.0,37273.97,18,1,189.0
3,1,0.0,0.0,8.300776960851454,2006,3.0,11.213077419608872,3.0,1.0,74093.08,19,1,188.0
5,2,1.0,0.0,11.840767712988406,1996,4.0,10.974166307497972,3.0,1.0,58347.18,29,3,178.0
3,1,1.0,0.0,6.5998704992128365,2007,2.0,11.26764263852336,3.0,1.0,78248.32,18,3,189.0
3,3,0.0,0.0,7.286191714702382,1998,2.0,10.772026710718995,3.0,1.0,47668.53,27,1,180.0
3,1,1.0,0.0,7.905810312658931,1885,1.0,11.577389014547503,3.0,1.0,106658.67,140,3,67.0
5,3,0.0,0.0,6.142037405587356,1989,2.0,9.116861214826281,3.0,1.0,9107.57,36,1,171.0
5,2,1.0,1.0,8.107418811719974,2004,2.0,11.175950481993242,3.0,1.0,71392.67,21,4,186.0
5,1,1.0,0.0,8.132706489693264,2011,4.0,11.701552682565548,3.0,1.0,120759.07,14,3,193.0
3,0,1.0,0.0,8.084254106307318,1962,3.0,11.48208257564163,3.0,1.0,96962.79,63,3,144.0
3,1,0.0,0.0,6.773080375655535,1975,4.0,6.426193591982667,0.0,1.0,1285061.024,50,1,157.0
3,2,0.0,1.0,8.187021067343505,2011,4.0,11.616250891237678,3.0,1.0,110885.22,14,2,193.0
5,0,1.0,0.0,7.322510433997394,1999,2.0,11.57898479783718,3.0,1.0,106829.01,26,3,181.0
3,0,1.0,0.0,7.804659297056102,1947,2.0,11.412729479029645,3.0,0.0,90466.01,78,3,129.0
3,1,0.0,0.0,7.4205789054108005,2005,3.0,11.610080124493683,3.0,1.0,110203.08,20,1,187.0
3,1,1.0,0.0,6.042632833682381,2010,3.0,11.036080728621645,3.0,1.0,62073.89,15,3,192.0
3,0,1.0,0.0,7.566311014772463,2008,3.0,5.033280935020114,0.0,1.0,319146.048,17,3,190.0
3,1,1.0,0.0,6.551080335043404,1992,1.0,6.8311231237571075,0.0,1.0,1926559.44,33,3,174.0
1,1,1.0,0.0,6.90975328164481,1997,1.0,11.449683915734202,3.0,1.0,93871.67,28,3,179.0
3,0,1.0,0.0,8.400434630806041,1963,2.0,9.991792800446982,3.0,1.0,21846.43,62,3,145.0
3,1,1.0,0.0,7.731930721948486,2001,3.0,11.692380834838595,3.0,1.0,119656.55,24,3,183.0
3,0,1.0,0.0,7.61972421378267,1921,1.0,11.970833106837327,3.0,1.0,158076.3,104,3,103.0
5,3,1.0,0.0,6.822197390620491,2005,2.0,10.833969905293332,3.0,1.0,50714.64,20,3,187.0
3,1,0.0,1.0,9.29771001811309,2008,2.0,11.502528503392405,3.0,1.0,98965.69,17,2,190.0
5,0,1.0,0.0,7.226209010100671,2011,3.0,11.094774581589878,3.0,1.0,65826.29,14,3,193.0
3,1,1.0,0.0,5.117993812416755,2001,2.0,11.67331791010191,3.0,1.0,117397.15,24,3,183.0
3,2,1.0,0.0,7.45298232946546,1993,4.0,10.648644945436525,3.0,1.0,42135.46,32,3,175.0
1,2,1.0,0.0,8.005033344637111,1945,3.0,10.471760615037015,3.0,0.0,35304.32,80,3,127.0
5,1,1.0,0.0,7.5740450053721995,1909,2.0,10.942895158713302,3.0,1.0,56550.83,116,3,91.0
3,0,1.0,0.0,8.206037762778815,1999,3.0,11.375123480621879,3.0,1.0,87127.12,26,3,181.0
3,1,1.0,1.0,6.925595197110468,2000,3.0,11.716540367452732,3.0,1.0,122582.6,25,4,182.0
3,2,0.0,0.0,6.45833828334479,1871,4.0,11.763457153657077,2.0,1.0,6680483.16,154,1,53.0
3,1,0.0,0.0,6.866933284461882,2000,4.0,11.668046159894972,3.0,1.0,116779.89,25,1,182.0
3,1,0.0,0.0,7.614312146452,1992,1.0,11.184690667297517,3.0,0.0,72019.39,33,1,174.0
3,1,1.0,0.0,6.411818267709897,2000,4.0,11.080914410408983,3.0,1.0,64920.22,25,3,182.0
3,2,1.0,0.0,5.3981627015177525,1881,3.0,11.320843348515414,3.0,0.0,82523.91,144,3,63.0
3,0,1.0,0.0,10.977636369025863,1947,4.0,6.2303304519272436,0.0,1.0,1056480.4640000002,78,3,129.0
5,1,1.0,0.0,7.8013913202914855,1971,4.0,10.90574146223106,3.0,1.0,54488.31,54,3,153.0
3,2,0.0,0.0,8.265907334155747,2007,1.0,11.167290074590646,3.0,1.0,70777.05,18,1,189.0
3,1,1.0,0.0,7.75833346749091,2011,4.0,11.631030670946403,3.0,0.0,112536.25,14,3,193.0
1,2,1.0,0.0,7.671826797878781,2011,1.0,11.910059431963044,3.0,1.0,148755.52,14,3,193.0
1,1,0.0,0.0,4.189654742026425,2008,4.0,4.257015980092933,0.0,1.0,146845.92,17,1,190.0
3,1,0.0,0.0,7.980023592310645,1823,3.0,11.196116492993495,3.0,1.0,72846.99,202,1,12.0
3,2,0.0,1.0,7.470224135899966,1956,4.0,11.719150949440616,3.0,1.0,122903.03,69,2,138.0
3,2,0.0,0.0,9.283776690049365,2005,4.0,11.609200542747107,3.0,0.0,110106.19,20,1,187.0
3,1,1.0,0.0,6.423246963533519,1998,1.0,10.972935671085192,3.0,1.0,58275.42,27,3,180.0
3,1,0.0,0.0,6.779921907472252,1838,2.0,5.418810061094025,0.0,1.0,469269.84,187,1,21.0
3,1,0.0,0.0,7.88758403166028,2000,1.0,11.780183198403142,3.0,1.0,130637.71,25,1,182.0
1,1,1.0,1.0,7.563719668414366,2001,4.0,11.362968246945375,3.0,1.0,86074.48,24,4,183.0
3,3,1.0,0.0,6.903747257584598,1990,4.0,10.48433687630275,3.0,1.0,35751.12,35,3,172.0
4,2,1.0,0.0,7.868254265520613,1999,1.0,11.772967959291087,3.0,1.0,129698.52,26,3,181.0
3,1,1.0,0.0,8.577911926450943,2009,3.0,11.899642046023295,3.0,1.0,147213.92,16,3,191.0
3,2,0.0,0.0,9.693753688131835,1998,1.0,11.409827166346604,3.0,1.0,90203.83,27,1,180.0
3,2,1.0,0.0,6.782192056006791,1968,4.0,11.585722106276785,3.0,1.0,107551.18,57,3,150.0
5,3,1.0,0.0,8.373322820996535,2013,4.0,10.074441829244996,3.0,1.0,23728.73,12,3,195.0
3,1,0.0,0.0,9.694000327669404,1994,1.0,11.372396733687582,3.0,1.0,86889.87,31,1,176.0
3,1,0.0,0.0,6.98933526597456,1989,2.0,11.391148376192243,3.0,1.0,88534.57,36,1,171.0
5,0,1.0,0.0,6.684611727667927,1999,2.0,10.722906085288733,3.0,1.0,45383.6,26,3,181.0
1,2,1.0,0.0,5.337538079701318,1992,1.0,9.114453726047184,3.0,1.0,9085.67,33,3,174.0
1,2,1.0,0.0,5.673323267171493,1839,3.0,10.7459007164807,3.0,1.0,46439.27,186,3,22.0
5,2,1.0,0.0,6.359573868672378,1999,1.0,9.521885932902107,3.0,1.0,13655.34,26,3,181.0
1,1,0.0,0.0,8.138272638530186,1990,1.0,11.612137296151365,3.0,1.0,110430.02,35,1,172.0
3,1,1.0,0.0,7.038783541388542,1896,1.0,11.22538764877968,3.0,1.0,75010.82,129,3,78.0
3,2,1.0,0.0,8.607764889600624,1861,2.0,10.77892941452889,3.0,1.0,47998.71,164,3,43.0
3,1,0.0,0.0,6.345636360828596,1994,3.0,11.567696754116012,3.0,1.0,105629.9,31,1,176.0
3,3,1.0,0.0,10.083389517811316,1992,0.0,11.161677624769517,3.0,1.0,70380.93,33,3,174.0
3,1,0.0,0.0,7.738923757439457,1997,2.0,11.942373210118523,3.0,1.0,153640.88,28,1,179.0
3,1,0.0,1.0,7.774015077250727,2006,2.0,10.992243594258372,3.0,1.0,59411.53,19,2,188.0
3,1,1.0,0.0,7.217443431696533,2010,3.0,11.895133205031645,3.0,1.0,146551.65,15,3,192.0
3,1,1.0,0.0,7.5406215286571525,2006,2.0,11.322770990820093,3.0,1.0,82683.14,19,3,188.0
5,1,0.0,0.0,5.099866427824199,1971,2.0,10.527758283403271,3.0,1.0,37337.68,54,1,153.0
3,1,0.0,0.0,6.2766434893416445,2001,2.0,10.896191953543465,3.0,1.0,53970.45,24,1,183.0
3,2,1.0,0.0,7.272398392570047,2002,1.0,8.877633039201832,3.0,1.0,7169.8,23,3,184.0
3,2,1.0,0.0,7.972121128921655,1968,2.0,10.120072845409075,3.0,1.0,24836.58,57,3,150.0
3,2,1.0,0.0,9.563318491070625,2007,2.0,10.980502965206137,3.0,1.0,58718.08,18,3,189.0
3,2,0.0,1.0,8.078688229229872,1984,3.0,10.00086513923586,3.0,1.0,22045.53,41,2,166.0
3,2,1.0,0.0,8.056426767522984,1981,1.0,11.674520963236592,3.0,1.0,117538.47,44,3,163.0
3,2,0.0,1.0,7.595889917718538,1985,3.0,10.768657396212562,3.0,1.0,47508.19,40,2,167.0
3,3,1.0,0.0,7.48605261786314,1991,2.0,11.63153082908853,3.0,1.0,112592.55,34,3,173.0
0,2,0.0,0.0,7.367077059881012,1911,4.0,6.88776316173387,0.0,1.0,2038829.3120000002,114,1,93.0
3,2,1.0,0.0,8.197263371414335,2002,4.0,10.563086222542317,3.0,1.0,38680.32,23,3,184.0
1,2,1.0,0.0,6.687108607866515,2006,2.0,11.263044380389841,3.0,1.0,77889.34,19,3,188.0
1,1,1.0,0.0,7.270312886079025,1968,3.0,11.65879904103308,3.0,0.0,115704.99,57,3,150.0
3,2,0.0,0.0,4.204692619390966,1998,2.0,5.459670616905795,3.0,1.0,235.02,27,1,180.0
3,1,1.0,0.0,6.499787040655854,2009,2.0,11.825461063894316,3.0,1.0,136688.66,16,3,191.0
3,1,1.0,0.0,7.51479976048867,2002,1.0,11.601471272452361,3.0,1.0,109258.43,23,3,184.0
3,2,0.0,0.0,7.370860166536716,1968,3.0,11.916805050134263,3.0,0.0,149762.36,57,1,150.0
3,2,1.0,0.0,7.499423290592229,2010,3.0,10.362873450141327,3.0,1.0,31662.03,15,3,192.0
5,0,0.0,0.0,11.479658194854082,1882,3.0,11.146495523956586,3.0,1.0,69320.47,143,1,64.0
3,1,1.0,0.0,8.531096096585228,1997,1.0,10.923693516148285,3.0,1.0,55475.32,28,3,179.0
4,2,0.0,0.0,7.351158226430694,1973,3.0,11.199464897237478,3.0,1.0,73091.32,52,1,155.0
3,2,1.0,0.0,8.049107721326406,2011,3.0,6.8074868875366485,0.0,1.0,1881556.768,14,3,193.0
5,0,0.0,1.0,8.022240916806537,1996,2.0,12.3494961371144,3.0,1.0,230843.7,29,2,178.0
1,2,1.0,0.0,7.410347097821024,1946,2.0,9.191530571664147,3.0,1.0,9813.66,79,3,128.0
4,2,1.0,0.0,8.227909837597483,1999,2.0,11.479332900035985,3.0,1.0,96696.54,26,3,181.0
1,2,1.0,0.0,10.023401649201466,2009,3.0,11.548739227205392,3.0,0.0,103646.28,16,3,191.0
3,2,0.0,0.0,7.81156848934518,2005,3.0,11.541065105337957,3.0,1.0,102853.93,20,1,187.0
3,2,0.0,0.0,7.537962659768208,2009,1.0,10.494237323101439,3.0,1.0,36106.83,16,1,191.0
3,1,0.0,0.0,7.776115477098742,2005,4.0,11.165901797271301,3.0,1.0,70678.86,20,1,187.0
0,3,1.0,0.0,7.515344571180436,1995,2.0,10.029420840029152,3.0,1.0,22684.13,30,3,177.0
4,2,0.0,0.0,8.48673398393153,1998,1.0,11.464587168693122,3.0,1.0,95281.14,27,1,180.0
3,1,1.0,0.0,11.764975178418284,2011,2.0,11.636989356910334,3.0,1.0,113208.82,14,3,193.0
3,2,0.0,0.0,8.62604759632832,2011,2.0,11.062716776716623,3.0,1.0,63749.51,14,1,193.0
3,0,0.0,0.0,7.68662133494462,1996,3.0,6.728891497187934,0.0,1.0,1739337.1840000001,29,1,178.0
1,3,0.0,0.0,8.61974977974133,1964,2.0,11.379376472190824,3.0,1.0,87498.46,61,1,146.0
3,2,1.0,0.0,7.708410667257367,2013,3.0,11.387744141850964,3.0,1.0,88233.69,12,3,195.0
3,2,1.0,0.0,8.016977746762262,1984,4.0,9.872978859290937,3.0,1.0,19399.04,41,3,166.0
3,2,0.0,0.0,7.31986492980897,1991,3.0,11.613159231278054,3.0,1.0,110542.93,34,1,173.0
1,1,0.0,0.0,7.552237287560802,2012,3.0,11.043908708605223,3.0,0.0,62561.71,13,1,194.0
1,1,0.0,0.0,7.544861068658458,1847,3.0,9.369242318068927,1.0,1.0,140666.76,178,1,29.0
5,3,0.0,0.0,8.09009578318096,1977,2.0,9.933602510773863,3.0,1.0,20611.46,48,1,159.0
3,2,1.0,0.0,11.317044392042519,2006,3.0,11.576051426414944,3.0,1.0,106516.1,19,3,188.0
2,0,0.0,0.0,8.358900612421644,1962,2.0,6.749480506764335,0.0,1.0,1775519.616,63,1,144.0
3,1,1.0,0.0,8.461469042643875,1951,3.0,11.093763684225681,3.0,0.0,65759.78,74,3,133.0
1,1,0.0,0.0,7.771910256435763,2005,1.0,10.95505994442281,3.0,1.0,57242.96,20,1,187.0
3,1,1.0,0.0,8.081165777725433,2007,4.0,10.40540854751192,3.0,1.0,33037.83,18,3,189.0
5,2,1.0,0.0,8.579416534596369,2001,4.0,11.568822222144902,3.0,1.0,105748.85,24,3,183.0
1,1,1.0,0.0,6.655440350367647,1998,3.0,6.517793717409733,0.0,1.0,1408332.432,27,3,180.0
3,2,1.0,0.0,8.225235324101668,2001,3.0,11.661310814315584,3.0,1.0,115995.98,24,3,183.0
3,0,0.0,1.0,7.44600149832412,2010,4.0,11.634726993435992,3.0,1.0,112952.99,15,2,192.0
3,0,1.0,0.0,8.159946655578548,2013,3.0,10.825541445448724,3.0,1.0,50288.99,12,3,195.0
3,1,1.0,1.0,7.382746449738912,1998,1.0,10.753876701392471,3.0,1.0,46811.15,27,4,180.0
1,0,0.0,0.0,8.420241665339788,2004,0.0,10.747202215216909,3.0,1.0,46499.75,21,1,186.0
3,1,1.0,0.0,10.206107497352116,2005,3.0,11.02497030688792,3.0,1.0,61388.04,20,3,187.0
0,3,0.0,1.0,4.127134385045092,2010,4.0,10.857078308065997,3.0,1.0,51900.22,15,2,192.0
3,2,1.0,0.0,10.27055827265698,2000,3.0,11.537019654638875,3.0,0.0,102438.68,25,3,182.0
3,2,1.0,0.0,7.781973234434385,1950,3.0,11.435309701550233,3.0,0.0,92531.99,75,3,132.0
3,1,0.0,0.0,7.3310603052186325,2013,3.0,10.565249065652006,3.0,1.0,38764.07,12,1,195.0
3,0,1.0,0.0,8.076515327552329,1950,4.0,11.426527681511761,3.0,1.0,91722.93,75,3,132.0
